answer,candidate_name,pct
Biden,Joseph R. Biden Jr.,28
Sanders,Bernard Sanders,25
Harris,Kamala D. Harris,10
Warren,Elizabeth Warren,8
O'Rourke,Beto O'Rourke,6
Booker,Cory A. Booker,5
Klobuchar,Amy Klobuchar,3
Bloomberg,Michael Bloomberg,2
Brown,Sherrod Brown,1
Castro,Julian Castro,1
de Blasio,Bill de Blasio,1
Hickenlooper,John Hickenlooper,1
Yang,Andrew Yang,1
Bennet,Michael F. Bennet,0
Buttigieg,Pete Buttigieg,0
Gabbard,Tulsi Gabbard,0
Gillibrand,Kirsten E. Gillibrand,0
Holder,Eric H. Holder,0
Inslee,Jay Robert Inslee,0
McAuliffe,Terry R. McAuliffe,0
Williamson,Marianne Williamson,0
Bullock,Steve Bullock,0
Delaney,John K. Delaney,0
